date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:30:31	1367/1367	---MCZ	404	error ('Not%20Found')	text/html	etag:1658131815-ssl-df	https://clayton-dev.netlify.app/robots.txt		(from )
04:30:31	158288/158288	---MCZ	200	added ('OK')	text/html	etag:%2273eed452a24a540cf5729b717672244c-ssl-df%22	https://clayton-dev.netlify.app/	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/index.html	(from )
04:30:34	1435/1435	---M--	200	added ('OK')	image/png	etag:%22aaab6de5ae6035d5ca66ec429f359e6d-ssl%22	https://clayton-dev.netlify.app/assets/images/favicon.png	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/favicon.png	(from https://clayton-dev.netlify.app/)
04:30:37	69727/69727	---MCZ	200	added ('OK')	text/css	etag:%22799816b98e95e110134f6cb77772e594-ssl-df%22	https://clayton-dev.netlify.app/assets/css/animate.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/animate.css	(from https://clayton-dev.netlify.app/)
04:30:39	155758/155758	---MCZ	200	added ('OK')	text/css	etag:%2253e218abe72a95524de9ec3e213582ea-ssl-df%22	https://clayton-dev.netlify.app/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/bootstrap/css/bootstrap.min.css	(from https://clayton-dev.netlify.app/)
04:30:41	51284/51284	---MCZ	200	added ('OK')	text/css	etag:%2208837732df6a9b591518cc0b0cb44d96-ssl-df%22	https://clayton-dev.netlify.app/assets/css/ionicons.min.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/ionicons.min.css	(from https://clayton-dev.netlify.app/)
04:30:44	16450/16450	---MCZ	200	added ('OK')	text/css	etag:%2204ac4230f7ac047d3eb6c506e3b90276-ssl-df%22	https://clayton-dev.netlify.app/assets/css/themify-icons.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/themify-icons.css	(from https://clayton-dev.netlify.app/)
04:30:46	54587/54587	---MCZ	200	added ('OK')	text/css	etag:%2219af43a6b0e2e4fa81220cf9682dd958-ssl-df%22	https://clayton-dev.netlify.app/assets/css/all.min.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/all.min.css	(from https://clayton-dev.netlify.app/)
04:30:48	927/927	---M--	200	added ('OK')	text/css	etag:%229aeaa2c521f19ee6d88196a565e6f9d9-ssl%22	https://clayton-dev.netlify.app/assets/css/flaticon.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/flaticon.css	(from https://clayton-dev.netlify.app/)
04:30:51	3011/3011	---MCZ	200	added ('OK')	text/css	etag:%222b7d3c13fc9a35aab01104a419320777-ssl-df%22	https://clayton-dev.netlify.app/assets/owlcarousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/owlcarousel/css/owl.carousel.min.css	(from https://clayton-dev.netlify.app/)
04:30:52	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22c966c8610fa3cf7a870f00cf3bcb9982-ssl-df%22	https://clayton-dev.netlify.app/assets/owlcarousel/css/owl.theme.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/owlcarousel/css/owl.theme.css	(from https://clayton-dev.netlify.app/)
04:30:55	1013/1013	---M--	200	added ('OK')	text/css	etag:%221476dd3bc3f316818799abecb07b1ea5-ssl%22	https://clayton-dev.netlify.app/assets/owlcarousel/css/owl.theme.default.min.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/owlcarousel/css/owl.theme.default.min.css	(from https://clayton-dev.netlify.app/)
04:30:57	6951/6951	---MCZ	200	added ('OK')	text/css	etag:%2284f63e93cd9e99f1442ee1c70e881200-ssl-df%22	https://clayton-dev.netlify.app/assets/css/magnific-popup.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/magnific-popup.css	(from https://clayton-dev.netlify.app/)
04:30:59	42839/42839	---MCZ	200	added ('OK')	text/css	etag:%22e07ce3c01ee193e3d56060b26d84aae7-ssl-df%22	https://clayton-dev.netlify.app/assets/css/jquery.mCustomScrollbar.min.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/jquery.mCustomScrollbar.min.css	(from https://clayton-dev.netlify.app/)
04:31:03	108276/108276	---MCZ	200	added ('OK')	text/css	etag:%224f9118313edf2e849ed3a1c15127b348-ssl-df%22	https://clayton-dev.netlify.app/assets/css/style.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/style.css	(from https://clayton-dev.netlify.app/)
04:31:05	30697/30697	---MCZ	200	added ('OK')	text/css	etag:%22f00ea4c4f01e5380aa4dc0512bcb2c8f-ssl-df%22	https://clayton-dev.netlify.app/assets/css/responsive.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/responsive.css	(from https://clayton-dev.netlify.app/)
04:31:07	4333/4333	---MCZ	200	added ('OK')	text/css	etag:%2219db025626a9a6e0f4d603da664d4521-ssl-df%22	https://clayton-dev.netlify.app/assets/css/3d.cube.css	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/css/3d.cube.css	(from https://clayton-dev.netlify.app/)
04:31:09	35660/35660	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ed6fbe-8b4c%22	https://www.statcounter.com/counter/counter.js	C:/My%20Web%20Sites/me/www.statcounter.com/counter/counter.js	(from https://clayton-dev.netlify.app/)
04:31:12	22894/22894	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267de69ab-596e%22	https://code.iconify.design/1/1.0.7/iconify.min.js	C:/My%20Web%20Sites/me/code.iconify.design/1/1.0.7/iconify.min.js	(from https://clayton-dev.netlify.app/)
04:31:14	3941/3941	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f65-QgTrEmUi+vs8zc3Zl23FlAXhF9c%22	https://cdn.jsdelivr.net/npm/@emailjs/browser@4/dist/email.min.js	C:/My%20Web%20Sites/me/cdn.jsdelivr.net/npm/@emailjs/browser@4/dist/email.min.js	(from https://clayton-dev.netlify.app/)
04:31:15	1411/1411	---M--	200	added ('OK')	image/png	etag:%22836e2b0ad33e19161869dc6dea99a3c4-ssl%22	https://clayton-dev.netlify.app/assets/images/logo_white.png	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/logo_white.png	(from https://clayton-dev.netlify.app/)
04:31:17	1435/1435	---M--	200	added ('OK')	image/png	etag:%22aaab6de5ae6035d5ca66ec429f359e6d-ssl%22	https://clayton-dev.netlify.app/assets/images/logo_dark.png	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/logo_dark.png	(from https://clayton-dev.netlify.app/)
04:31:19	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1658131815-ssl-df	https://clayton-dev.netlify.app/%22assets/images/banner_img1.jpg%22	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/_assets/images/banner_img1.14.delayed	(from https://clayton-dev.netlify.app/)
04:31:22	37347/37347	---M--	200	added ('OK')	image/jpeg	etag:%226a3be378761598a6b3a4a107302d4320-ssl%22	https://clayton-dev.netlify.app/assets/images/clayton-avatar.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/clayton-avatar.jpg	(from https://clayton-dev.netlify.app/)
04:31:26	98024/98024	---MCZ	200	added ('OK')	application/pdf	etag:%222a93cf9e9438d38d7fbe2dad224f2eb5-ssl-df%22	https://clayton-dev.netlify.app/assets/documents/clayton-resume.pdf	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/documents/clayton-resume.pdf	(from https://clayton-dev.netlify.app/)
04:31:27	12050/12050	---M--	200	added ('OK')	image/png	etag:%22d409e0b7f868b27762e86e4e85ad7c1b-ssl%22	https://clayton-dev.netlify.app/assets/images/wave_shape.png	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/wave_shape.png	(from https://clayton-dev.netlify.app/)
04:31:29	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1658131815-ssl-df	https://clayton-dev.netlify.app/%22assets/images/counter_bg.jpg%22	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/_assets/images/counter_bg.18.delayed	(from https://clayton-dev.netlify.app/)
04:31:32	147620/147620	---M--	200	added ('OK')	image/jpeg	etag:%22631a5dfbfb9e8dddad6c9162754769b8-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-kw-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-kw-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:36	713727/713727	---M--	200	added ('OK')	image/jpeg	etag:%22ebf00988a2bdb6bdf26ce3288505426f-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-covid-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-covid-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:37	310342/310342	---M--	200	added ('OK')	image/jpeg	etag:%228db5cc6b643325e3294a08365859053b-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-virusgeeks-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-virusgeeks-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:40	544967/544967	---M--	200	added ('OK')	image/jpeg	etag:%22bfcd7c7bca39ca7a31fe34cb4b6f632f-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-beach-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-beach-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:43	766512/766512	---M--	200	added ('OK')	image/jpeg	etag:%224ae75096c3e9dd664375810e6742be8f-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-zoo-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-zoo-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:44	245356/245356	---M--	200	added ('OK')	image/jpeg	etag:%22e675a283e7ac4afcc65afa77201a8bd8-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-gas-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-gas-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:46	278486/278486	---M--	200	added ('OK')	image/jpeg	etag:%220d6594ccc64a9fec9751ce8fa967c43a-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-tango-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-tango-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:49	466815/466815	---M--	200	added ('OK')	image/jpeg	etag:%2203cf44af4fd1c1ca0fe8276b5aaec0f4-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-mused-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-mused-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:50	361637/361637	---M--	200	added ('OK')	image/jpeg	etag:%22b664f37b401c62ec2abca9dd61d53c59-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-barber-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-barber-1.jpg	(from https://clayton-dev.netlify.app/)
04:31:52	246831/246831	---M--	200	added ('OK')	image/jpeg	etag:%226068976ec930fa68870dadc765f51692-ssl%22	https://clayton-dev.netlify.app/assets/images/portfolio-foobee-1.jpg	C:/My%20Web%20Sites/me/clayton-dev.netlify.app/assets/images/portfolio-foobee-1.jpg	(from https://clayton-dev.netlify.app/)
